run,year,viv_type,count
0,2025,tavi_in_savr,551
0,2025,tavi_in_tavi,184
0,2026,tavi_in_savr,576
0,2026,tavi_in_tavi,199
0,2027,tavi_in_savr,574
0,2027,tavi_in_tavi,232
0,2028,tavi_in_savr,611
0,2028,tavi_in_tavi,315
0,2029,tavi_in_savr,636
0,2029,tavi_in_tavi,327
0,2030,tavi_in_savr,668
0,2030,tavi_in_tavi,369
0,2031,tavi_in_savr,650
0,2031,tavi_in_tavi,400
0,2032,tavi_in_savr,708
0,2032,tavi_in_tavi,462
0,2033,tavi_in_savr,697
0,2033,tavi_in_tavi,507
0,2034,tavi_in_savr,705
0,2034,tavi_in_tavi,544
0,2035,tavi_in_savr,727
0,2035,tavi_in_tavi,629
1,2025,tavi_in_savr,540
1,2025,tavi_in_tavi,152
1,2026,tavi_in_savr,596
1,2026,tavi_in_tavi,228
1,2027,tavi_in_savr,600
1,2027,tavi_in_tavi,247
1,2028,tavi_in_savr,648
1,2028,tavi_in_tavi,287
1,2029,tavi_in_savr,656
1,2029,tavi_in_tavi,334
1,2030,tavi_in_savr,614
1,2030,tavi_in_tavi,364
1,2031,tavi_in_savr,679
1,2031,tavi_in_tavi,402
1,2032,tavi_in_savr,672
1,2032,tavi_in_tavi,422
1,2033,tavi_in_savr,727
1,2033,tavi_in_tavi,498
1,2034,tavi_in_savr,722
1,2034,tavi_in_tavi,537
1,2035,tavi_in_savr,675
1,2035,tavi_in_tavi,582
2,2025,tavi_in_savr,555
2,2025,tavi_in_tavi,177
2,2026,tavi_in_savr,555
2,2026,tavi_in_tavi,206
2,2027,tavi_in_savr,565
2,2027,tavi_in_tavi,228
2,2028,tavi_in_savr,632
2,2028,tavi_in_tavi,262
2,2029,tavi_in_savr,608
2,2029,tavi_in_tavi,355
2,2030,tavi_in_savr,657
2,2030,tavi_in_tavi,368
2,2031,tavi_in_savr,748
2,2031,tavi_in_tavi,406
2,2032,tavi_in_savr,667
2,2032,tavi_in_tavi,450
2,2033,tavi_in_savr,743
2,2033,tavi_in_tavi,537
2,2034,tavi_in_savr,727
2,2034,tavi_in_tavi,551
2,2035,tavi_in_savr,718
2,2035,tavi_in_tavi,596
3,2025,tavi_in_savr,536
3,2025,tavi_in_tavi,165
3,2026,tavi_in_savr,587
3,2026,tavi_in_tavi,189
3,2027,tavi_in_savr,528
3,2027,tavi_in_tavi,249
3,2028,tavi_in_savr,603
3,2028,tavi_in_tavi,317
3,2029,tavi_in_savr,642
3,2029,tavi_in_tavi,324
3,2030,tavi_in_savr,670
3,2030,tavi_in_tavi,383
3,2031,tavi_in_savr,713
3,2031,tavi_in_tavi,406
3,2032,tavi_in_savr,706
3,2032,tavi_in_tavi,489
3,2033,tavi_in_savr,700
3,2033,tavi_in_tavi,479
3,2034,tavi_in_savr,692
3,2034,tavi_in_tavi,560
3,2035,tavi_in_savr,742
3,2035,tavi_in_tavi,614
4,2025,tavi_in_savr,562
4,2025,tavi_in_tavi,168
4,2026,tavi_in_savr,625
4,2026,tavi_in_tavi,217
4,2027,tavi_in_savr,578
4,2027,tavi_in_tavi,275
4,2028,tavi_in_savr,651
4,2028,tavi_in_tavi,294
4,2029,tavi_in_savr,598
4,2029,tavi_in_tavi,329
4,2030,tavi_in_savr,682
4,2030,tavi_in_tavi,369
4,2031,tavi_in_savr,674
4,2031,tavi_in_tavi,422
4,2032,tavi_in_savr,689
4,2032,tavi_in_tavi,449
4,2033,tavi_in_savr,712
4,2033,tavi_in_tavi,510
4,2034,tavi_in_savr,719
4,2034,tavi_in_tavi,558
4,2035,tavi_in_savr,678
4,2035,tavi_in_tavi,575
5,2025,tavi_in_savr,578
5,2025,tavi_in_tavi,165
5,2026,tavi_in_savr,582
5,2026,tavi_in_tavi,225
5,2027,tavi_in_savr,606
5,2027,tavi_in_tavi,261
5,2028,tavi_in_savr,675
5,2028,tavi_in_tavi,273
5,2029,tavi_in_savr,632
5,2029,tavi_in_tavi,328
5,2030,tavi_in_savr,672
5,2030,tavi_in_tavi,382
5,2031,tavi_in_savr,667
5,2031,tavi_in_tavi,432
5,2032,tavi_in_savr,718
5,2032,tavi_in_tavi,489
5,2033,tavi_in_savr,662
5,2033,tavi_in_tavi,487
5,2034,tavi_in_savr,798
5,2034,tavi_in_tavi,585
5,2035,tavi_in_savr,735
5,2035,tavi_in_tavi,540
6,2025,tavi_in_savr,536
6,2025,tavi_in_tavi,165
6,2026,tavi_in_savr,561
6,2026,tavi_in_tavi,202
6,2027,tavi_in_savr,605
6,2027,tavi_in_tavi,249
6,2028,tavi_in_savr,611
6,2028,tavi_in_tavi,295
6,2029,tavi_in_savr,627
6,2029,tavi_in_tavi,318
6,2030,tavi_in_savr,603
6,2030,tavi_in_tavi,359
6,2031,tavi_in_savr,693
6,2031,tavi_in_tavi,394
6,2032,tavi_in_savr,670
6,2032,tavi_in_tavi,436
6,2033,tavi_in_savr,640
6,2033,tavi_in_tavi,518
6,2034,tavi_in_savr,673
6,2034,tavi_in_tavi,573
6,2035,tavi_in_savr,745
6,2035,tavi_in_tavi,564
7,2025,tavi_in_savr,539
7,2025,tavi_in_tavi,158
7,2026,tavi_in_savr,560
7,2026,tavi_in_tavi,200
7,2027,tavi_in_savr,602
7,2027,tavi_in_tavi,240
7,2028,tavi_in_savr,594
7,2028,tavi_in_tavi,260
7,2029,tavi_in_savr,586
7,2029,tavi_in_tavi,340
7,2030,tavi_in_savr,668
7,2030,tavi_in_tavi,375
7,2031,tavi_in_savr,638
7,2031,tavi_in_tavi,394
7,2032,tavi_in_savr,693
7,2032,tavi_in_tavi,419
7,2033,tavi_in_savr,710
7,2033,tavi_in_tavi,524
7,2034,tavi_in_savr,694
7,2034,tavi_in_tavi,539
7,2035,tavi_in_savr,668
7,2035,tavi_in_tavi,619
8,2025,tavi_in_savr,541
8,2025,tavi_in_tavi,167
8,2026,tavi_in_savr,558
8,2026,tavi_in_tavi,216
8,2027,tavi_in_savr,591
8,2027,tavi_in_tavi,246
8,2028,tavi_in_savr,620
8,2028,tavi_in_tavi,284
8,2029,tavi_in_savr,651
8,2029,tavi_in_tavi,294
8,2030,tavi_in_savr,681
8,2030,tavi_in_tavi,387
8,2031,tavi_in_savr,645
8,2031,tavi_in_tavi,427
8,2032,tavi_in_savr,612
8,2032,tavi_in_tavi,438
8,2033,tavi_in_savr,634
8,2033,tavi_in_tavi,504
8,2034,tavi_in_savr,756
8,2034,tavi_in_tavi,536
8,2035,tavi_in_savr,721
8,2035,tavi_in_tavi,619
9,2025,tavi_in_savr,571
9,2025,tavi_in_tavi,172
9,2026,tavi_in_savr,577
9,2026,tavi_in_tavi,193
9,2027,tavi_in_savr,588
9,2027,tavi_in_tavi,278
9,2028,tavi_in_savr,616
9,2028,tavi_in_tavi,265
9,2029,tavi_in_savr,597
9,2029,tavi_in_tavi,326
9,2030,tavi_in_savr,602
9,2030,tavi_in_tavi,365
9,2031,tavi_in_savr,709
9,2031,tavi_in_tavi,412
9,2032,tavi_in_savr,694
9,2032,tavi_in_tavi,474
9,2033,tavi_in_savr,734
9,2033,tavi_in_tavi,513
9,2034,tavi_in_savr,691
9,2034,tavi_in_tavi,579
9,2035,tavi_in_savr,714
9,2035,tavi_in_tavi,611
10,2025,tavi_in_savr,530
10,2025,tavi_in_tavi,159
10,2026,tavi_in_savr,552
10,2026,tavi_in_tavi,190
10,2027,tavi_in_savr,569
10,2027,tavi_in_tavi,248
10,2028,tavi_in_savr,570
10,2028,tavi_in_tavi,308
10,2029,tavi_in_savr,649
10,2029,tavi_in_tavi,349
10,2030,tavi_in_savr,677
10,2030,tavi_in_tavi,333
10,2031,tavi_in_savr,621
10,2031,tavi_in_tavi,407
10,2032,tavi_in_savr,687
10,2032,tavi_in_tavi,455
10,2033,tavi_in_savr,675
10,2033,tavi_in_tavi,494
10,2034,tavi_in_savr,714
10,2034,tavi_in_tavi,550
10,2035,tavi_in_savr,724
10,2035,tavi_in_tavi,630
11,2025,tavi_in_savr,557
11,2025,tavi_in_tavi,155
11,2026,tavi_in_savr,590
11,2026,tavi_in_tavi,221
11,2027,tavi_in_savr,613
11,2027,tavi_in_tavi,275
11,2028,tavi_in_savr,611
11,2028,tavi_in_tavi,249
11,2029,tavi_in_savr,627
11,2029,tavi_in_tavi,337
11,2030,tavi_in_savr,621
11,2030,tavi_in_tavi,364
11,2031,tavi_in_savr,641
11,2031,tavi_in_tavi,423
11,2032,tavi_in_savr,699
11,2032,tavi_in_tavi,444
11,2033,tavi_in_savr,671
11,2033,tavi_in_tavi,528
11,2034,tavi_in_savr,700
11,2034,tavi_in_tavi,508
11,2035,tavi_in_savr,696
11,2035,tavi_in_tavi,579
12,2025,tavi_in_savr,582
12,2025,tavi_in_tavi,157
12,2026,tavi_in_savr,571
12,2026,tavi_in_tavi,218
12,2027,tavi_in_savr,598
12,2027,tavi_in_tavi,257
12,2028,tavi_in_savr,602
12,2028,tavi_in_tavi,279
12,2029,tavi_in_savr,629
12,2029,tavi_in_tavi,336
12,2030,tavi_in_savr,648
12,2030,tavi_in_tavi,355
12,2031,tavi_in_savr,673
12,2031,tavi_in_tavi,411
12,2032,tavi_in_savr,692
12,2032,tavi_in_tavi,458
12,2033,tavi_in_savr,688
12,2033,tavi_in_tavi,490
12,2034,tavi_in_savr,734
12,2034,tavi_in_tavi,553
12,2035,tavi_in_savr,740
12,2035,tavi_in_tavi,611
13,2025,tavi_in_savr,548
13,2025,tavi_in_tavi,164
13,2026,tavi_in_savr,565
13,2026,tavi_in_tavi,217
13,2027,tavi_in_savr,596
13,2027,tavi_in_tavi,251
13,2028,tavi_in_savr,597
13,2028,tavi_in_tavi,304
13,2029,tavi_in_savr,617
13,2029,tavi_in_tavi,323
13,2030,tavi_in_savr,670
13,2030,tavi_in_tavi,381
13,2031,tavi_in_savr,661
13,2031,tavi_in_tavi,417
13,2032,tavi_in_savr,661
13,2032,tavi_in_tavi,429
13,2033,tavi_in_savr,674
13,2033,tavi_in_tavi,479
13,2034,tavi_in_savr,684
13,2034,tavi_in_tavi,513
13,2035,tavi_in_savr,704
13,2035,tavi_in_tavi,583
14,2025,tavi_in_savr,570
14,2025,tavi_in_tavi,139
14,2026,tavi_in_savr,587
14,2026,tavi_in_tavi,223
14,2027,tavi_in_savr,583
14,2027,tavi_in_tavi,237
14,2028,tavi_in_savr,657
14,2028,tavi_in_tavi,296
14,2029,tavi_in_savr,664
14,2029,tavi_in_tavi,344
14,2030,tavi_in_savr,670
14,2030,tavi_in_tavi,368
14,2031,tavi_in_savr,726
14,2031,tavi_in_tavi,403
14,2032,tavi_in_savr,710
14,2032,tavi_in_tavi,446
14,2033,tavi_in_savr,681
14,2033,tavi_in_tavi,522
14,2034,tavi_in_savr,702
14,2034,tavi_in_tavi,572
14,2035,tavi_in_savr,716
14,2035,tavi_in_tavi,581
15,2025,tavi_in_savr,523
15,2025,tavi_in_tavi,163
15,2026,tavi_in_savr,603
15,2026,tavi_in_tavi,194
15,2027,tavi_in_savr,618
15,2027,tavi_in_tavi,255
15,2028,tavi_in_savr,611
15,2028,tavi_in_tavi,306
15,2029,tavi_in_savr,591
15,2029,tavi_in_tavi,325
15,2030,tavi_in_savr,649
15,2030,tavi_in_tavi,369
15,2031,tavi_in_savr,632
15,2031,tavi_in_tavi,420
15,2032,tavi_in_savr,659
15,2032,tavi_in_tavi,472
15,2033,tavi_in_savr,695
15,2033,tavi_in_tavi,478
15,2034,tavi_in_savr,773
15,2034,tavi_in_tavi,545
15,2035,tavi_in_savr,680
15,2035,tavi_in_tavi,555
16,2025,tavi_in_savr,573
16,2025,tavi_in_tavi,156
16,2026,tavi_in_savr,586
16,2026,tavi_in_tavi,220
16,2027,tavi_in_savr,625
16,2027,tavi_in_tavi,233
16,2028,tavi_in_savr,596
16,2028,tavi_in_tavi,270
16,2029,tavi_in_savr,630
16,2029,tavi_in_tavi,337
16,2030,tavi_in_savr,654
16,2030,tavi_in_tavi,373
16,2031,tavi_in_savr,637
16,2031,tavi_in_tavi,432
16,2032,tavi_in_savr,667
16,2032,tavi_in_tavi,434
16,2033,tavi_in_savr,668
16,2033,tavi_in_tavi,475
16,2034,tavi_in_savr,757
16,2034,tavi_in_tavi,528
16,2035,tavi_in_savr,693
16,2035,tavi_in_tavi,574
17,2025,tavi_in_savr,556
17,2025,tavi_in_tavi,179
17,2026,tavi_in_savr,563
17,2026,tavi_in_tavi,199
17,2027,tavi_in_savr,613
17,2027,tavi_in_tavi,271
17,2028,tavi_in_savr,612
17,2028,tavi_in_tavi,257
17,2029,tavi_in_savr,657
17,2029,tavi_in_tavi,325
17,2030,tavi_in_savr,667
17,2030,tavi_in_tavi,377
17,2031,tavi_in_savr,653
17,2031,tavi_in_tavi,422
17,2032,tavi_in_savr,694
17,2032,tavi_in_tavi,443
17,2033,tavi_in_savr,687
17,2033,tavi_in_tavi,472
17,2034,tavi_in_savr,690
17,2034,tavi_in_tavi,520
17,2035,tavi_in_savr,701
17,2035,tavi_in_tavi,592
18,2025,tavi_in_savr,533
18,2025,tavi_in_tavi,189
18,2026,tavi_in_savr,581
18,2026,tavi_in_tavi,195
18,2027,tavi_in_savr,559
18,2027,tavi_in_tavi,224
18,2028,tavi_in_savr,660
18,2028,tavi_in_tavi,283
18,2029,tavi_in_savr,633
18,2029,tavi_in_tavi,301
18,2030,tavi_in_savr,633
18,2030,tavi_in_tavi,368
18,2031,tavi_in_savr,660
18,2031,tavi_in_tavi,406
18,2032,tavi_in_savr,710
18,2032,tavi_in_tavi,424
18,2033,tavi_in_savr,699
18,2033,tavi_in_tavi,508
18,2034,tavi_in_savr,704
18,2034,tavi_in_tavi,552
18,2035,tavi_in_savr,708
18,2035,tavi_in_tavi,624
19,2025,tavi_in_savr,560
19,2025,tavi_in_tavi,159
19,2026,tavi_in_savr,573
19,2026,tavi_in_tavi,188
19,2027,tavi_in_savr,593
19,2027,tavi_in_tavi,252
19,2028,tavi_in_savr,616
19,2028,tavi_in_tavi,266
19,2029,tavi_in_savr,668
19,2029,tavi_in_tavi,330
19,2030,tavi_in_savr,626
19,2030,tavi_in_tavi,387
19,2031,tavi_in_savr,662
19,2031,tavi_in_tavi,397
19,2032,tavi_in_savr,650
19,2032,tavi_in_tavi,430
19,2033,tavi_in_savr,686
19,2033,tavi_in_tavi,476
19,2034,tavi_in_savr,692
19,2034,tavi_in_tavi,537
19,2035,tavi_in_savr,750
19,2035,tavi_in_tavi,629
